backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,16,16,0,3,0,54.57,139.0,124.32,149.18,ep16/channels16_repeat0.log
rc_gda,16,16,1,0,0,54.82,138.37,128.61,147.01,ep16/channels16_repeat1.log
rc_gda,16,16,1,1,0,54.99,137.95,125.7,152.74,ep16/channels16_repeat1.log
rc_gda,16,16,1,2,0,54.83,138.35,124.32,150.98,ep16/channels16_repeat1.log
rc_gda,16,16,1,3,0,54.77,138.5,126.4,150.98,ep16/channels16_repeat1.log
rc_gda,16,16,2,0,0,54.95,138.06,126.4,148.86,ep16/channels16_repeat2.log
rc_gda,16,16,2,1,0,55.03,137.84,122.46,153.22,ep16/channels16_repeat2.log
rc_gda,16,16,2,2,0,54.88,138.22,124.29,150.94,ep16/channels16_repeat2.log
rc_gda,16,16,2,3,0,54.95,138.05,128.64,144.83,ep16/channels16_repeat2.log
rc_gda,16,32,0,0,0,54.52,139.14,120.22,155.04,ep16/channels32_repeat0.log
rc_gda,16,32,0,1,0,54.77,138.5,127.78,148.64,ep16/channels32_repeat0.log
rc_gda,16,32,0,2,0,54.67,138.75,129.44,146.85,ep16/channels32_repeat0.log
rc_gda,16,32,0,3,0,54.63,138.85,128.03,147.26,ep16/channels32_repeat0.log
rc_gda,16,32,1,0,0,54.35,139.56,120.42,155.26,ep16/channels32_repeat1.log
rc_gda,16,32,1,1,0,54.3,139.69,124.58,155.3,ep16/channels32_repeat1.log
rc_gda,16,32,1,2,0,54.33,139.62,128.58,149.02,ep16/channels32_repeat1.log
rc_gda,16,32,1,3,0,54.5,139.19,130.14,148.32,ep16/channels32_repeat1.log
rc_gda,16,32,2,0,0,54.79,138.45,124.32,152.96,ep16/channels32_repeat2.log
rc_gda,16,32,2,1,0,54.89,138.19,123.71,150.88,ep16/channels32_repeat2.log
rc_gda,16,32,2,2,0,54.78,138.49,126.34,150.98,ep16/channels32_repeat2.log
rc_gda,16,32,2,3,0,54.87,138.25,127.36,148.29,ep16/channels32_repeat2.log
